year,avg_humidity,avg_max_humidity,avg_min_humidity,avg_wind_speed,avg_max_wind_speed,avg_dew_point,summer_humidity,summer_wind_speed,summer_dew_point
1990,57.9309331876647,77.67449315068492,39.69276712328767,5.379799080122181,11.562547945205479,47.07323066659367,56.690227031165556,6.655913641244644,54.57438299405512
1991,65.12436569160998,84.55014285714286,45.978942857142854,6.1529565109492665,11.987835616438357,47.91871741131884,66.41501411157148,6.572440487376119,54.530225184651414
1992,64.92349645823211,86.5633606557377,44.44341530054645,6.504856941861574,11.935191256830601,49.218366406817225,60.51496143678726,7.4632639464360775,53.44495777446597
1993,62.46677365058837,83.53980821917808,42.91002739726027,7.591543924735702,14.101808219178082,47.795713039243864,56.00201810484597,9.368679529567187,52.65582339518405
1994,62.22587319145847,83.44597260273973,42.289671232876714,8.495509975636326,15.367999999999999,46.341109756149486,58.06620358193719,10.468208994316516,51.705654626793965
1995,65.43683613764898,84.43005494505495,46.9396978021978,9.425144890545424,15.843736263736263,49.615211037588786,57.36320955820136,11.508913833434324,53.07268271482616
1996,63.273455588801056,84.6060655737705,44.09871584699453,8.352806248563661,15.098579234972677,49.095147687803504,59.16427480311895,8.705109933079616,53.158103718035
1997,60.99201475244471,82.57958904109589,42.093260273972604,8.953946848370538,15.982821917808218,49.24357358032781,58.11161203532485,10.359436981854532,54.831832976570205
1998,66.21555958410225,84.92104109589042,48.711643835616435,8.634047985893007,16.331890410958906,49.488270187618056,62.930405140303286,9.75829772678302,55.66031055347739
1999,64.59556273708385,85.0605205479452,45.57060273972603,8.184309250519709,14.117780821917808,48.026061067332705,63.70241049285414,9.169185056746532,54.221927610640726
2000,65.65534949291488,85.41252747252747,47.07502747252747,8.263432845878596,14.304726775956283,49.00644459955849,61.61186365097321,9.58763242526054,54.060325650452484
2001,63.45928331021404,83.80587257617728,44.59304709141274,8.18627907363699,14.89068493150685,48.14523409479698,59.61238693876037,9.534657296335936,52.84296426452043
2002,63.15272326476762,84.23851648351648,43.41634615384615,8.755255469957564,15.062273972602739,47.76514663665359,59.19318254336203,9.861169747428185,52.88762755566516
2003,63.23155145003846,83.84457534246576,44.47679452054795,8.811875680296067,15.211835616438355,48.75503787187832,58.34790144896757,9.97792657744056,53.970475907891526
2004,63.340001272690195,84.07796143250688,44.64581267217631,8.876974373201712,14.869098360655737,48.23764163765257,59.53315554521237,10.318881252627154,53.51645717918445
2005,66.275586612161,84.67055737704918,48.89403278688525,8.331548478757343,13.589068493150686,48.853230334275175,60.70482764388545,9.063816728835292,53.36369860779578
2006,64.06647779671556,84.49561643835617,45.07649315068494,8.709652644812317,15.151479452054794,48.973322500774174,60.063730016916715,9.539319497549135,54.737842247396316
2007,60.545571838189574,81.35810958904109,42.185232876712334,8.293314930033706,13.973835616438356,47.10630739647138,58.34841170464326,9.241694278399196,53.16955802394327
2008,60.175545975926646,79.38366120218579,41.99396174863388,8.369872001132729,13.431147540983607,46.27777619158405,56.192899633722384,9.089507971991578,52.10431744485023
2009,63.712659937436996,83.56443835616439,44.49008219178082,7.269213908313908,12.843287671232877,46.832752815677466,61.9525332232658,8.205367884847393,53.146006923404464
2010,66.57220804929916,84.5698904109589,48.55142465753425,7.134913555823709,12.069068493150684,47.47413673272738,62.909684362086,8.123737771791049,52.212604772276904
2011,66.29093382958497,84.17676712328768,46.939424657534246,6.1536248978372585,11.837863013698628,46.445466685916216,64.37855816894854,7.426513240857503,53.45524364979283
2012,73.40539052867706,87.37368852459016,44.932486338797816,4.370487687119414,12.726448087431693,46.64481198120387,72.49668657098832,4.79020219188607,51.04522611288524
2013,71.00761415441258,85.14197260273973,41.85673972602739,3.972683528006998,11.453561643835616,45.73871287740345,72.80208125675861,5.020145952016757,53.48794081672984
2014,73.22707142179385,86.54158904109589,45.444684931506856,3.920379733228362,12.961150684931505,49.25609117081472,73.40685403950629,4.606005733271963,54.65186735056729
2015,72.37606942755895,86.24780821917808,44.421369863013695,4.125754834562995,12.803369863013698,48.71514992646325,68.70726205248172,5.145874015605109,54.32931529612868
2016,74.93198890348313,88.3098087431694,48.13655737704918,4.102603472978007,12.969098360655737,49.022853936670394,72.56971477376138,4.564678949808446,52.47514609036505
2017,72.51468915733132,86.99354395604396,44.12543956043956,4.203463908398965,12.64142857142857,48.09601002042028,71.67339583184334,4.814561099877614,54.099404461492675
2018,74.29559997520627,87.31254794520548,45.18978082191781,3.726145490938681,11.951890410958903,47.45573657270643,72.98524905265288,4.631842967975315,52.39158864345187
2019,69.58855734343003,86.20882191780822,45.366465753424656,5.149985881785447,11.865753424657534,48.11319539805639,60.246898040142916,7.171303198886244,54.427366287724354
2020,73.307408601756,87.68079234972677,42.33633879781421,3.4661855167539795,12.273224043715848,47.73379232879606,72.7351480296604,4.2943406469996175,54.337820251703114
2021,74.51269921526057,88.14517808219179,44.73846575342466,3.5739432945774197,13.24931506849315,47.3161290603167,74.0889401822214,3.2950990071542807,53.76092111619074
2022,73.71110327317987,88.02008219178083,42.69443835616438,2.7712369422981813,13.101369863013698,46.905951337744455,72.66006421030717,3.2257520428419006,54.129132915334125
2023,75.21531333629991,88.7306301369863,48.2746301369863,3.5238416474374366,13.572602739726028,47.89553780488544,74.6106350113168,3.5430113663269305,54.19285917952317
2024,75.66947105794489,89.65937158469946,46.647650273224045,4.150209570644232,14.710382513661202,48.99824008926805,74.1927652780788,4.762234347734141,54.28811655299928
2025,75.45424677553963,89.99869158878505,46.90102803738318,4.633400828012065,15.95638629283489,49.99375460475084,73.59532705134544,5.9955613582370475,55.080411047768614
